,latitude,longitude,soil_acidity,soil_organic_matter,soil_water_capacity,soil_clay_content,soil_sand_content,soil_silt_content,id,soil_category
0,5.335927322474049,43.50157756165822,7.9,0.8,11.0,22.0,53.0,24.0,0,Silt Loam
1,5.349421148399756,43.48609034050878,7.8,0.9,10.0,23.0,51.0,24.0,1,Silt Loam
2,5.359893968520026,43.49587984265477,7.9,0.8,11.0,24.0,50.0,25.0,2,Silt Loam
3,5.3788256048918015,43.49807137198934,7.9,0.8,10.0,23.0,52.0,24.0,3,Silt Loam
4,5.362713573937185,43.513701550413174,7.9,0.9,11.0,24.0,51.0,24.0,4,Silt Loam
5,5.345795941432868,43.51165672530843,7.8,0.8,11.0,21.0,53.0,25.0,5,Silt Loam
6,5.335927322474049,43.50157756165822,7.9,0.8,11.0,22.0,53.0,24.0,6,Silt Loam
